iter	Logloss	Accuracy
0	0.6862829997	0.8121484814
1	0.6809444134	0.8087739033
2	0.6751692192	0.811023622
3	0.6689060433	0.8132733408
4	0.663214412	0.8121484814
5	0.6576488286	0.811023622
6	0.654444094	0.8143982002
7	0.649063509	0.8143982002
8	0.6443240788	0.8143982002
9	0.639593472	0.8155230596
10	0.634518553	0.8155230596
11	0.630531624	0.8143982002
12	0.6275610437	0.8132733408
13	0.6225019893	0.8143982002
14	0.6179502868	0.8177727784
15	0.6140480312	0.8177727784
16	0.6100033955	0.8188976378
17	0.6049646427	0.8177727784
18	0.6025760117	0.816647919
19	0.5998630036	0.8132733408
20	0.5958216745	0.8132733408
21	0.591410594	0.8132733408
22	0.5876738502	0.8155230596
23	0.5844864306	0.8143982002
24	0.5807646341	0.816647919
25	0.5771272159	0.816647919
26	0.5728543458	0.816647919
27	0.569899682	0.816647919
28	0.5662607706	0.8177727784
29	0.563420135	0.816647919
30	0.5606398073	0.8177727784
31	0.5589070641	0.8177727784
32	0.5555976399	0.816647919
33	0.5527465299	0.816647919
34	0.5502509393	0.816647919
35	0.5474224825	0.816647919
36	0.5449661546	0.816647919
37	0.5419375138	0.816647919
38	0.5389497138	0.816647919
39	0.537036138	0.816647919
40	0.5345431607	0.816647919
41	0.5318468307	0.8177727784
42	0.528708944	0.8177727784
43	0.5266516564	0.8177727784
44	0.5250387505	0.8177727784
45	0.5234471816	0.8177727784
46	0.5211118487	0.8177727784
47	0.5186236424	0.8188976378
48	0.5174240004	0.8188976378
49	0.5153829936	0.8188976378
50	0.5136875693	0.8188976378
51	0.5117623129	0.8188976378
52	0.5107220729	0.8188976378
53	0.5081770771	0.8188976378
54	0.506921233	0.8188976378
55	0.505575494	0.8188976378
56	0.5038307015	0.8200224972
57	0.5027957823	0.8188976378
58	0.5013980864	0.8188976378
59	0.499690041	0.8200224972
60	0.4979647501	0.8200224972
61	0.4964338188	0.8200224972
62	0.4950122112	0.8200224972
63	0.493615908	0.8200224972
64	0.4925482843	0.8200224972
65	0.4904981447	0.8188976378
66	0.4894553724	0.8188976378
67	0.4887259378	0.8188976378
68	0.4868577111	0.8200224972
69	0.4856525028	0.8188976378
70	0.4844220989	0.8188976378
71	0.4833107979	0.8188976378
72	0.4820151758	0.8188976378
73	0.4809680893	0.8188976378
74	0.4796902938	0.8188976378
75	0.4784984969	0.8188976378
76	0.4765209314	0.8188976378
77	0.4752912022	0.8188976378
78	0.4736698187	0.8188976378
79	0.4731221498	0.8188976378
80	0.4725858809	0.8188976378
81	0.471373574	0.8188976378
82	0.4701810971	0.8188976378
83	0.468394212	0.8188976378
84	0.467338762	0.8188976378
85	0.4663532922	0.8177727784
86	0.4648838079	0.8177727784
87	0.4634498758	0.8177727784
88	0.4621939963	0.8188976378
89	0.4612193179	0.8177727784
90	0.4607997731	0.8177727784
91	0.4602730621	0.8177727784
92	0.4596308682	0.8177727784
93	0.4589702757	0.8177727784
94	0.4582646737	0.816647919
95	0.4567502826	0.8177727784
96	0.4561099266	0.816647919
97	0.4553858577	0.8177727784
98	0.454319953	0.8177727784
99	0.4533588663	0.8177727784
100	0.4525700114	0.8188976378
101	0.4522112887	0.8188976378
102	0.4515743638	0.8188976378
103	0.4507656279	0.8188976378
104	0.4496655763	0.8188976378
105	0.4493023575	0.8188976378
106	0.4489219595	0.8188976378
107	0.4484150199	0.8188976378
108	0.4477069574	0.8188976378
109	0.4470392042	0.8188976378
110	0.4460393532	0.8188976378
111	0.4456196772	0.8188976378
112	0.4450435906	0.8188976378
113	0.4443097805	0.8188976378
114	0.4436594323	0.8188976378
115	0.4430323397	0.8188976378
116	0.4425667882	0.8188976378
117	0.4420570709	0.8188976378
118	0.4415627082	0.8188976378
119	0.4409795998	0.8188976378
120	0.4409304366	0.8188976378
121	0.4404749027	0.8188976378
122	0.4401158111	0.8177727784
123	0.4394214207	0.8188976378
124	0.4390911562	0.8188976378
125	0.4385736272	0.8188976378
126	0.4376314401	0.8200224972
127	0.4374418555	0.8200224972
128	0.43678346	0.8200224972
129	0.4367425938	0.8200224972
130	0.4361966153	0.8200224972
131	0.4351844575	0.8200224972
132	0.4347795778	0.8200224972
133	0.4344971856	0.8200224972
134	0.4341237721	0.8200224972
135	0.4336962481	0.8200224972
136	0.4334183291	0.8200224972
137	0.4330321887	0.8200224972
138	0.4328820415	0.8200224972
139	0.4322122669	0.8200224972
140	0.4320459429	0.8200224972
141	0.4313132803	0.8200224972
142	0.4306863932	0.8200224972
143	0.4298502487	0.8200224972
144	0.429563496	0.8200224972
145	0.4291401416	0.8211473566
146	0.4290026936	0.8211473566
147	0.428713944	0.8211473566
148	0.4284865436	0.8211473566
149	0.4282427777	0.8211473566
150	0.4277638344	0.8211473566
151	0.4272183597	0.8211473566
152	0.4268385623	0.8211473566
153	0.4262415494	0.8211473566
154	0.4260480447	0.8211473566
155	0.4254953759	0.8211473566
156	0.4252336952	0.822272216
157	0.4251245965	0.8211473566
158	0.4248393174	0.822272216
159	0.4245472109	0.822272216
160	0.424306681	0.822272216
161	0.4240101133	0.822272216
162	0.4236345392	0.822272216
163	0.4234395971	0.822272216
164	0.4228925767	0.8233970754
165	0.4227463123	0.8233970754
166	0.4226186221	0.8233970754
167	0.4222141005	0.8233970754
168	0.4219365681	0.8233970754
169	0.4216244964	0.8233970754
170	0.4213899779	0.8233970754
171	0.4210836173	0.8245219348
172	0.4208199202	0.8256467942
173	0.4206420891	0.8256467942
174	0.4201114201	0.8267716535
175	0.4198212392	0.8256467942
176	0.4195833582	0.8256467942
177	0.4195684713	0.8256467942
178	0.4194809426	0.8256467942
179	0.4191368102	0.8256467942
180	0.4185960272	0.8256467942
181	0.4184558623	0.8256467942
182	0.4180541653	0.8256467942
183	0.4178579095	0.8256467942
184	0.4175684234	0.8256467942
185	0.4173355631	0.8256467942
186	0.416964052	0.8256467942
187	0.4165339846	0.8256467942
188	0.4162489281	0.8256467942
189	0.4160226858	0.8256467942
190	0.4156772984	0.8256467942
191	0.4153905729	0.8256467942
192	0.4151181488	0.8256467942
193	0.4149057781	0.8256467942
194	0.4147785286	0.8256467942
195	0.4145078033	0.8256467942
196	0.4142289806	0.8256467942
197	0.4138731385	0.8256467942
198	0.413652515	0.8256467942
199	0.4134202659	0.8256467942
200	0.4132429324	0.8256467942
201	0.4131386885	0.8256467942
202	0.4128981307	0.8278965129
203	0.4127999366	0.8278965129
204	0.4123861657	0.8278965129
205	0.4122839555	0.8278965129
206	0.411779376	0.8290213723
207	0.4116196546	0.8290213723
208	0.4114564804	0.8278965129
209	0.4111432696	0.8278965129
210	0.4106762879	0.8290213723
211	0.4106690881	0.8290213723
212	0.4105118858	0.8278965129
213	0.4102389391	0.8290213723
214	0.4101729924	0.8290213723
215	0.4097785043	0.8290213723
216	0.4097719483	0.8290213723
217	0.4095778049	0.8301462317
218	0.409162824	0.8301462317
219	0.4088581002	0.8301462317
220	0.4087048418	0.8301462317
221	0.4084593791	0.8312710911
222	0.408359656	0.8312710911
223	0.4081195046	0.8312710911
224	0.4076140007	0.8312710911
225	0.4072650418	0.8312710911
226	0.4067655427	0.8312710911
227	0.4065649378	0.8312710911
228	0.4065039886	0.8312710911
229	0.4064058466	0.8312710911
230	0.4061180996	0.8312710911
231	0.4055415976	0.8301462317
232	0.4051274713	0.8312710911
233	0.4047998262	0.8312710911
234	0.4045995977	0.8312710911
235	0.4044447422	0.8312710911
236	0.4043262088	0.8323959505
237	0.4040858686	0.8323959505
238	0.4038266155	0.8323959505
239	0.4036662162	0.8312710911
240	0.4033999824	0.8312710911
241	0.4032625424	0.8312710911
242	0.403159599	0.8312710911
243	0.4031157006	0.8312710911
244	0.4030428256	0.8312710911
245	0.4027365551	0.8312710911
246	0.4026695468	0.8312710911
247	0.4025548589	0.8312710911
248	0.4024727142	0.8312710911
249	0.4023172592	0.8312710911
250	0.4022147406	0.8312710911
251	0.4021037527	0.8312710911
252	0.4019768688	0.8323959505
253	0.4018978523	0.8323959505
254	0.401766234	0.8312710911
255	0.4016389001	0.8323959505
256	0.4015661611	0.8323959505
257	0.4013322905	0.8323959505
258	0.4011163637	0.8323959505
259	0.4006385289	0.8335208099
260	0.4004260229	0.8335208099
261	0.4004209638	0.8335208099
262	0.4003922293	0.8335208099
263	0.400141535	0.8335208099
264	0.400085454	0.8335208099
265	0.4000101329	0.8335208099
266	0.3997118815	0.8335208099
267	0.3994205091	0.8335208099
268	0.3991878815	0.8335208099
269	0.3991442056	0.8335208099
270	0.3991032636	0.8335208099
271	0.3991012213	0.8335208099
272	0.3990604317	0.8335208099
273	0.398996023	0.8335208099
274	0.398842673	0.8335208099
275	0.3984797597	0.8323959505
276	0.3983456001	0.8323959505
277	0.3982300348	0.8335208099
278	0.3981400972	0.8335208099
279	0.3980248613	0.8335208099
280	0.3980231601	0.8335208099
281	0.3978096803	0.8335208099
282	0.397558896	0.8346456693
283	0.3974341558	0.8346456693
284	0.3973721919	0.8335208099
285	0.3970670516	0.8346456693
286	0.3967992677	0.8346456693
287	0.3967561065	0.8335208099
288	0.3966434616	0.8335208099
289	0.3965604303	0.8335208099
290	0.3965537074	0.8335208099
291	0.3964798232	0.8335208099
292	0.3963696381	0.8323959505
293	0.3962790572	0.8323959505
294	0.3960748714	0.8335208099
295	0.3960421098	0.8335208099
296	0.3958327526	0.8346456693
297	0.3957204576	0.8346456693
298	0.3957076132	0.8346456693
299	0.3954987382	0.8346456693
300	0.3953515145	0.8346456693
301	0.3953105293	0.8346456693
302	0.3952342698	0.8346456693
303	0.3952332056	0.8346456693
304	0.3950720281	0.8346456693
305	0.3948670549	0.8357705287
306	0.3946427772	0.8357705287
307	0.3945518852	0.8357705287
308	0.3943222031	0.8357705287
309	0.3942335488	0.8357705287
310	0.3941690138	0.8357705287
311	0.3940320279	0.8357705287
312	0.3938484868	0.8357705287
313	0.3937877017	0.8357705287
314	0.3937593833	0.8357705287
315	0.393737881	0.8357705287
316	0.3935485764	0.8357705287
317	0.3934677296	0.8357705287
318	0.3934338508	0.8357705287
319	0.3932612	0.8357705287
320	0.3932174193	0.8357705287
321	0.3932150415	0.8357705287
322	0.3932131883	0.8357705287
323	0.393131342	0.8357705287
324	0.3931290107	0.8357705287
325	0.3930114585	0.8357705287
326	0.3929436113	0.8357705287
327	0.3928210251	0.8357705287
328	0.39263214	0.8357705287
329	0.3926315403	0.8357705287
330	0.3925084723	0.8357705287
331	0.392181952	0.8357705287
332	0.3920570233	0.8357705287
333	0.3918706637	0.8357705287
334	0.3917634685	0.8357705287
335	0.3916126676	0.8357705287
336	0.3914734529	0.8368953881
337	0.3914486298	0.8368953881
338	0.3912763948	0.8368953881
339	0.3911364967	0.8368953881
340	0.3910828145	0.8368953881
341	0.3910412608	0.8368953881
342	0.3910351465	0.8368953881
343	0.3908387995	0.8368953881
344	0.3907467871	0.8368953881
345	0.3905555756	0.8368953881
346	0.3905329072	0.8368953881
347	0.3904623741	0.8368953881
348	0.3904619897	0.8368953881
349	0.3901003542	0.8368953881
350	0.390098987	0.8368953881
351	0.3898423487	0.8368953881
352	0.3898010769	0.8368953881
353	0.3897611003	0.8368953881
354	0.3897227444	0.8368953881
355	0.3896825722	0.8368953881
356	0.3895868767	0.8368953881
357	0.3895221825	0.8368953881
358	0.389489233	0.8368953881
359	0.3893514654	0.8380202475
360	0.3893299339	0.8380202475
361	0.3893221494	0.8380202475
362	0.389296803	0.8380202475
363	0.3890642033	0.8391451069
364	0.3889011621	0.8391451069
365	0.3888745396	0.8391451069
366	0.3887674489	0.8391451069
367	0.3886170837	0.8391451069
368	0.3883973238	0.8391451069
369	0.388317469	0.8391451069
370	0.3881709251	0.8402699663
371	0.3881163509	0.8402699663
372	0.3880391543	0.8391451069
373	0.3880377302	0.8391451069
374	0.3879562475	0.8391451069
375	0.3878060577	0.8391451069
376	0.387786588	0.8391451069
377	0.3876174555	0.8391451069
378	0.3874510071	0.8402699663
379	0.3872558399	0.8402699663
380	0.3871713712	0.8402699663
381	0.3871185673	0.8402699663
382	0.3871168528	0.8402699663
383	0.3868332431	0.8402699663
384	0.3863391909	0.8402699663
385	0.386270214	0.8402699663
386	0.38624576	0.8402699663
387	0.3861715878	0.8402699663
388	0.386077988	0.8402699663
389	0.3859860376	0.8402699663
390	0.3859009867	0.8402699663
391	0.3857696525	0.8402699663
392	0.3857695075	0.8402699663
393	0.3856685941	0.8402699663
394	0.3855419365	0.8402699663
395	0.3855254362	0.8402699663
396	0.3855249587	0.8402699663
397	0.3854372484	0.8402699663
398	0.385359989	0.8402699663
399	0.3852800813	0.8402699663
400	0.3852742947	0.8402699663
401	0.3849977961	0.8402699663
402	0.3846074775	0.8402699663
403	0.3844439568	0.8402699663
404	0.3843358662	0.8402699663
405	0.3841790974	0.8402699663
406	0.3840403023	0.8402699663
407	0.3839578402	0.8402699663
408	0.3839577344	0.8402699663
409	0.3838492563	0.8402699663
410	0.3838195389	0.8402699663
411	0.3837730417	0.8402699663
412	0.3837039518	0.8413948256
413	0.3836360369	0.8413948256
414	0.3835948665	0.8413948256
415	0.3835208594	0.8413948256
416	0.3834777907	0.8413948256
417	0.3833815136	0.8413948256
418	0.3832283031	0.842519685
419	0.3831510009	0.842519685
420	0.3830425952	0.842519685
421	0.3829137322	0.8413948256
422	0.3828025854	0.8413948256
423	0.3825342819	0.8413948256
424	0.3825022653	0.842519685
425	0.3824340923	0.842519685
426	0.3824073633	0.842519685
427	0.3823325544	0.842519685
428	0.3822188005	0.8436445444
429	0.3821446056	0.8436445444
430	0.3820536922	0.8447694038
431	0.3819613896	0.8447694038
432	0.3819445874	0.8447694038
433	0.3818381396	0.8447694038
434	0.3817032206	0.8447694038
435	0.3816221788	0.8447694038
436	0.3815242223	0.8447694038
437	0.3814626957	0.8447694038
438	0.381405512	0.8447694038
439	0.3813304263	0.8458942632
440	0.3812281395	0.8458942632
441	0.3811997958	0.8458942632
442	0.3811424619	0.8458942632
443	0.3811206781	0.8458942632
444	0.3810698045	0.8458942632
445	0.3809744071	0.8458942632
446	0.3808194452	0.8458942632
447	0.3807500494	0.8458942632
448	0.380748175	0.8458942632
449	0.3807425411	0.8458942632
450	0.380720703	0.8458942632
451	0.3806392206	0.8458942632
452	0.3805523129	0.8458942632
453	0.3804932205	0.8458942632
454	0.3804429665	0.8470191226
455	0.3803858724	0.8470191226
456	0.3803687171	0.8470191226
457	0.3801929663	0.8470191226
458	0.3801129864	0.8470191226
459	0.3798434003	0.848143982
460	0.3798297885	0.848143982
461	0.3796351687	0.848143982
462	0.3795602019	0.848143982
463	0.3794893144	0.848143982
464	0.3792402291	0.848143982
465	0.3792293387	0.848143982
466	0.379116331	0.848143982
467	0.3790884258	0.848143982
468	0.3790051131	0.848143982
469	0.3788248064	0.848143982
470	0.3788226224	0.848143982
471	0.3787819648	0.848143982
472	0.378781698	0.848143982
473	0.3787174362	0.848143982
474	0.3787128652	0.848143982
475	0.3786588816	0.848143982
476	0.3785312785	0.8492688414
477	0.3784695848	0.8492688414
478	0.3781853893	0.8503937008
479	0.3781807554	0.8503937008
480	0.3781807517	0.8503937008
481	0.3781222737	0.8503937008
482	0.378011725	0.8503937008
483	0.3780103103	0.8503937008
484	0.3778903848	0.8503937008
485	0.3778903805	0.8503937008
486	0.3778705269	0.8503937008
487	0.3777237593	0.8503937008
488	0.3776655006	0.8503937008
489	0.3776177767	0.8503937008
490	0.3775499771	0.8503937008
491	0.3774360786	0.8503937008
492	0.3772669962	0.8515185602
493	0.3771396373	0.8515185602
494	0.3771235811	0.8515185602
495	0.3770362717	0.8515185602
496	0.3769634015	0.8515185602
497	0.3769625442	0.8515185602
498	0.376861302	0.8515185602
499	0.3768610956	0.8515185602
500	0.3768152686	0.8515185602
501	0.3767849237	0.8515185602
