iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	225	278	225	340	225	278	340
1	215	263	215	340	215	263	340
2	215	262	215	340	215	262	340
3	223	274	223	340	223	274	340
4	220	270	220	340	220	270	340
5	226	282	226	340	226	282	340
6	228	285	228	340	228	285	340
7	228	284	228	340	228	284	340
8	228	282	228	340	228	282	340
9	228	282	228	340	228	282	340
10	225	278	225	340	225	278	340
11	228	282	228	340	228	282	340
12	229	284	229	340	229	284	340
13	228	283	228	340	228	283	340
14	228	281	228	340	228	281	340
15	228	281	228	340	228	281	340
16	228	282	228	340	228	282	340
17	228	282	228	340	228	282	340
18	228	282	228	340	228	282	340
19	229	284	229	340	229	284	340
20	229	284	229	340	229	284	340
21	229	284	229	340	229	284	340
22	229	284	229	340	229	284	340
23	229	286	229	340	229	286	340
24	229	283	229	340	229	283	340
25	229	283	229	340	229	283	340
26	229	283	229	340	229	283	340
27	229	283	229	340	229	283	340
28	229	283	229	340	229	283	340
29	229	283	229	340	229	283	340
30	229	285	229	340	229	285	340
31	229	285	229	340	229	285	340
32	229	285	229	340	229	285	340
33	229	285	229	340	229	285	340
34	229	285	229	340	229	285	340
35	229	285	229	340	229	285	340
36	229	285	229	340	229	285	340
37	229	285	229	340	229	285	340
38	229	285	229	340	229	285	340
39	229	283	229	340	229	283	340
40	229	283	229	340	229	283	340
41	229	283	229	340	229	283	340
42	229	283	229	340	229	283	340
43	229	283	229	340	229	283	340
44	229	283	229	340	229	283	340
45	229	283	229	340	229	283	340
46	229	283	229	340	229	283	340
47	229	283	229	340	229	283	340
48	229	283	229	340	229	283	340
49	229	283	229	340	229	283	340
50	229	283	229	340	229	283	340
51	229	283	229	340	229	283	340
52	229	283	229	340	229	283	340
53	229	283	229	340	229	283	340
54	229	283	229	340	229	283	340
55	229	283	229	340	229	283	340
56	229	283	229	340	229	283	340
57	229	283	229	340	229	283	340
58	229	283	229	340	229	283	340
59	229	283	229	340	229	283	340
60	229	283	229	340	229	283	340
61	229	283	229	340	229	283	340
62	229	283	229	340	229	283	340
63	229	283	229	340	229	283	340
64	229	283	229	340	229	283	340
65	229	283	229	340	229	283	340
66	229	283	229	340	229	283	340
67	229	283	229	340	229	283	340
68	229	283	229	340	229	283	340
69	229	283	229	340	229	283	340
70	229	283	229	340	229	283	340
71	229	283	229	340	229	283	340
72	229	283	229	340	229	283	340
73	229	283	229	340	229	283	340
74	229	283	229	340	229	283	340
75	229	283	229	340	229	283	340
76	229	283	229	340	229	283	340
77	229	283	229	340	229	283	340
78	229	283	229	340	229	283	340
79	229	283	229	340	229	283	340
80	229	283	229	340	229	283	340
81	229	283	229	340	229	283	340
82	229	283	229	340	229	283	340
83	229	283	229	340	229	283	340
84	229	284	229	340	229	284	340
85	229	284	229	340	229	284	340
86	229	284	229	340	229	284	340
87	229	284	229	340	229	284	340
88	229	284	229	340	229	284	340
89	229	284	229	340	229	284	340
90	229	284	229	340	229	284	340
91	229	284	229	340	229	284	340
92	229	284	229	340	229	284	340
93	229	284	229	340	229	284	340
94	229	284	229	340	229	284	340
95	229	284	229	340	229	284	340
96	229	284	229	340	229	284	340
97	229	284	229	340	229	284	340
98	229	283	229	340	229	283	340
99	229	283	229	340	229	283	340
100	229	283	229	340	229	283	340
101	229	283	229	340	229	283	340
102	229	283	229	340	229	283	340
103	229	283	229	340	229	283	340
104	229	283	229	340	229	283	340
105	229	283	229	340	229	283	340
106	229	283	229	340	229	283	340
107	229	283	229	340	229	283	340
108	229	283	229	340	229	283	340
109	229	283	229	340	229	283	340
110	229	283	229	340	229	283	340
111	229	283	229	340	229	283	340
112	229	283	229	340	229	283	340
113	229	283	229	340	229	283	340
114	229	283	229	340	229	283	340
115	229	283	229	340	229	283	340
116	229	283	229	340	229	283	340
117	229	283	229	340	229	283	340
118	229	283	229	340	229	283	340
119	229	283	229	340	229	283	340
120	229	283	229	340	229	283	340
121	229	283	229	340	229	283	340
122	229	283	229	340	229	283	340
123	229	283	229	340	229	283	340
124	229	283	229	340	229	283	340
125	229	283	229	340	229	283	340
126	229	283	229	340	229	283	340
127	229	283	229	340	229	283	340
128	229	283	229	340	229	283	340
129	229	283	229	340	229	283	340
130	229	283	229	340	229	283	340
131	229	283	229	340	229	283	340
132	229	283	229	340	229	283	340
133	229	283	229	340	229	283	340
134	229	283	229	340	229	283	340
135	229	282	229	340	229	282	340
136	229	282	229	340	229	282	340
137	229	282	229	340	229	282	340
138	229	283	229	340	229	283	340
139	229	283	229	340	229	283	340
140	229	283	229	340	229	283	340
141	229	283	229	340	229	283	340
142	229	283	229	340	229	283	340
143	229	283	229	340	229	283	340
144	229	283	229	340	229	283	340
145	229	283	229	340	229	283	340
146	229	283	229	340	229	283	340
147	229	283	229	340	229	283	340
148	229	283	229	340	229	283	340
149	229	283	229	340	229	283	340
150	229	283	229	340	229	283	340
151	229	283	229	340	229	283	340
152	229	283	229	340	229	283	340
153	229	283	229	340	229	283	340
154	229	283	229	340	229	283	340
155	229	283	229	340	229	283	340
156	230	284	230	340	230	284	340
157	229	283	229	340	229	283	340
158	230	284	230	340	230	284	340
159	230	281	230	340	230	281	340
160	230	281	230	340	230	281	340
161	230	281	230	340	230	281	340
162	229	280	229	340	229	280	340
163	230	281	230	340	230	281	340
164	231	282	231	340	231	282	340
165	231	282	231	340	231	282	340
166	231	281	231	340	231	281	340
167	231	281	231	340	231	281	340
168	231	281	231	340	231	281	340
169	231	281	231	340	231	281	340
170	231	281	231	340	231	281	340
171	231	281	231	340	231	281	340
172	231	281	231	340	231	281	340
173	231	281	231	340	231	281	340
174	231	280	231	340	231	280	340
175	231	280	231	340	231	280	340
176	231	280	231	340	231	280	340
177	231	280	231	340	231	280	340
178	231	280	231	340	231	280	340
179	231	281	231	340	231	281	340
180	231	281	231	340	231	281	340
181	231	282	231	340	231	282	340
182	231	281	231	340	231	281	340
183	231	281	231	340	231	281	340
184	231	281	231	340	231	281	340
185	231	281	231	340	231	281	340
186	231	281	231	340	231	281	340
187	231	281	231	340	231	281	340
188	231	281	231	340	231	281	340
189	231	281	231	340	231	281	340
190	231	281	231	340	231	281	340
191	231	281	231	340	231	281	340
192	231	281	231	340	231	281	340
193	231	281	231	340	231	281	340
194	231	281	231	340	231	281	340
195	231	281	231	340	231	281	340
196	231	281	231	340	231	281	340
197	231	280	231	340	231	280	340
198	231	280	231	340	231	280	340
199	231	280	231	340	231	280	340
200	231	280	231	340	231	280	340
201	231	280	231	340	231	280	340
202	231	280	231	340	231	280	340
203	231	280	231	340	231	280	340
204	231	280	231	340	231	280	340
205	231	280	231	340	231	280	340
206	231	280	231	340	231	280	340
207	231	280	231	340	231	280	340
208	231	280	231	340	231	280	340
209	231	280	231	340	231	280	340
210	231	280	231	340	231	280	340
211	231	280	231	340	231	280	340
212	231	280	231	340	231	280	340
213	231	280	231	340	231	280	340
214	231	280	231	340	231	280	340
215	231	280	231	340	231	280	340
216	231	280	231	340	231	280	340
217	231	280	231	340	231	280	340
218	231	280	231	340	231	280	340
219	231	280	231	340	231	280	340
220	231	280	231	340	231	280	340
221	231	280	231	340	231	280	340
222	231	280	231	340	231	280	340
223	231	280	231	340	231	280	340
224	231	280	231	340	231	280	340
225	231	280	231	340	231	280	340
226	231	280	231	340	231	280	340
227	231	280	231	340	231	280	340
228	231	280	231	340	231	280	340
229	231	280	231	340	231	280	340
230	231	280	231	340	231	280	340
231	231	280	231	340	231	280	340
232	231	280	231	340	231	280	340
233	231	280	231	340	231	280	340
234	231	280	231	340	231	280	340
235	231	280	231	340	231	280	340
236	231	280	231	340	231	280	340
237	231	280	231	340	231	280	340
238	231	280	231	340	231	280	340
239	231	280	231	340	231	280	340
240	231	280	231	340	231	280	340
241	231	280	231	340	231	280	340
242	231	280	231	340	231	280	340
243	231	280	231	340	231	280	340
244	231	280	231	340	231	280	340
245	231	280	231	340	231	280	340
246	231	280	231	340	231	280	340
247	231	280	231	340	231	280	340
248	231	280	231	340	231	280	340
249	231	280	231	340	231	280	340
250	231	280	231	340	231	280	340
251	231	280	231	340	231	280	340
252	231	280	231	340	231	280	340
253	231	280	231	340	231	280	340
254	231	280	231	340	231	280	340
255	231	280	231	340	231	280	340
256	231	280	231	340	231	280	340
257	231	280	231	340	231	280	340
258	231	280	231	340	231	280	340
259	231	280	231	340	231	280	340
260	231	280	231	340	231	280	340
261	231	280	231	340	231	280	340
262	231	279	231	340	231	279	340
263	231	280	231	340	231	280	340
264	231	280	231	340	231	280	340
265	231	280	231	340	231	280	340
266	231	280	231	340	231	280	340
267	231	279	231	340	231	279	340
268	231	279	231	340	231	279	340
269	231	279	231	340	231	279	340
270	231	279	231	340	231	279	340
271	231	279	231	340	231	279	340
272	231	279	231	340	231	279	340
273	231	279	231	340	231	279	340
274	231	279	231	340	231	279	340
275	231	279	231	340	231	279	340
276	231	279	231	340	231	279	340
277	231	279	231	340	231	279	340
278	231	279	231	340	231	279	340
279	231	279	231	340	231	279	340
280	231	279	231	340	231	279	340
281	231	279	231	340	231	279	340
282	231	279	231	340	231	279	340
283	231	279	231	340	231	279	340
284	231	280	231	340	231	280	340
285	231	279	231	340	231	279	340
286	231	279	231	340	231	279	340
287	231	279	231	340	231	279	340
288	231	279	231	340	231	279	340
289	231	280	231	340	231	280	340
290	231	280	231	340	231	280	340
291	231	280	231	340	231	280	340
292	231	280	231	340	231	280	340
293	231	280	231	340	231	280	340
294	231	280	231	340	231	280	340
295	231	280	231	340	231	280	340
296	231	280	231	340	231	280	340
297	231	280	231	340	231	280	340
298	231	280	231	340	231	280	340
299	231	280	231	340	231	280	340
300	231	280	231	340	231	280	340
301	231	280	231	340	231	280	340
302	231	280	231	340	231	280	340
303	231	280	231	340	231	280	340
304	231	280	231	340	231	280	340
305	231	280	231	340	231	280	340
306	231	280	231	340	231	280	340
307	231	280	231	340	231	280	340
308	231	280	231	340	231	280	340
309	231	280	231	340	231	280	340
310	231	280	231	340	231	280	340
311	231	280	231	340	231	280	340
312	231	280	231	340	231	280	340
313	231	280	231	340	231	280	340
314	231	280	231	340	231	280	340
315	231	280	231	340	231	280	340
316	231	280	231	340	231	280	340
317	231	280	231	340	231	280	340
318	231	280	231	340	231	280	340
319	231	280	231	340	231	280	340
320	231	280	231	340	231	280	340
321	231	280	231	340	231	280	340
322	231	280	231	340	231	280	340
323	231	280	231	340	231	280	340
324	231	280	231	340	231	280	340
325	231	280	231	340	231	280	340
326	231	280	231	340	231	280	340
327	231	280	231	340	231	280	340
328	231	280	231	340	231	280	340
329	231	280	231	340	231	280	340
330	231	280	231	340	231	280	340
331	231	280	231	340	231	280	340
332	231	280	231	340	231	280	340
333	231	280	231	340	231	280	340
334	231	280	231	340	231	280	340
335	231	280	231	340	231	280	340
336	231	280	231	340	231	280	340
337	231	280	231	340	231	280	340
338	231	280	231	340	231	280	340
339	231	280	231	340	231	280	340
340	231	280	231	340	231	280	340
341	231	280	231	340	231	280	340
342	231	280	231	340	231	280	340
343	231	280	231	340	231	280	340
344	231	280	231	340	231	280	340
345	231	280	231	340	231	280	340
346	231	280	231	340	231	280	340
347	231	280	231	340	231	280	340
348	231	280	231	340	231	280	340
349	231	280	231	340	231	280	340
350	231	280	231	340	231	280	340
351	231	280	231	340	231	280	340
352	231	280	231	340	231	280	340
353	231	280	231	340	231	280	340
354	231	280	231	340	231	280	340
355	231	280	231	340	231	280	340
356	231	280	231	340	231	280	340
357	231	280	231	340	231	280	340
358	231	280	231	340	231	280	340
359	231	280	231	340	231	280	340
360	231	280	231	340	231	280	340
361	231	280	231	340	231	280	340
362	231	280	231	340	231	280	340
363	231	280	231	340	231	280	340
364	231	280	231	340	231	280	340
365	231	280	231	340	231	280	340
366	231	280	231	340	231	280	340
367	231	280	231	340	231	280	340
368	231	280	231	340	231	280	340
369	231	280	231	340	231	280	340
370	231	280	231	340	231	280	340
371	231	280	231	340	231	280	340
372	231	280	231	340	231	280	340
373	231	280	231	340	231	280	340
374	231	280	231	340	231	280	340
375	231	280	231	340	231	280	340
376	231	280	231	340	231	280	340
377	231	280	231	340	231	280	340
378	231	280	231	340	231	280	340
379	231	280	231	340	231	280	340
380	231	280	231	340	231	280	340
381	231	280	231	340	231	280	340
382	231	280	231	340	231	280	340
383	231	280	231	340	231	280	340
384	231	280	231	340	231	280	340
385	231	280	231	340	231	280	340
386	231	280	231	340	231	280	340
387	231	280	231	340	231	280	340
388	231	280	231	340	231	280	340
389	231	280	231	340	231	280	340
390	231	280	231	340	231	280	340
391	231	280	231	340	231	280	340
392	231	280	231	340	231	280	340
393	231	280	231	340	231	280	340
394	232	281	232	340	232	281	340
395	232	281	232	340	232	281	340
396	232	281	232	340	232	281	340
397	232	281	232	340	232	281	340
398	233	283	233	340	233	283	340
399	233	283	233	340	233	283	340
400	233	283	233	340	233	283	340
401	233	283	233	340	233	283	340
402	232	281	232	340	232	281	340
403	232	282	232	340	232	282	340
404	232	282	232	340	232	282	340
405	232	281	232	340	232	281	340
406	232	282	232	340	232	282	340
407	232	282	232	340	232	282	340
408	232	282	232	340	232	282	340
409	232	282	232	340	232	282	340
410	232	282	232	340	232	282	340
411	233	284	233	340	233	284	340
412	233	284	233	340	233	284	340
413	233	284	233	340	233	284	340
414	233	284	233	340	233	284	340
415	232	282	232	340	232	282	340
416	233	284	233	340	233	284	340
417	233	284	233	340	233	284	340
418	233	284	233	340	233	284	340
419	233	284	233	340	233	284	340
420	233	284	233	340	233	284	340
421	233	284	233	340	233	284	340
422	233	284	233	340	233	284	340
423	233	284	233	340	233	284	340
424	233	284	233	340	233	284	340
425	233	284	233	340	233	284	340
426	233	284	233	340	233	284	340
427	233	284	233	340	233	284	340
428	233	284	233	340	233	284	340
429	233	284	233	340	233	284	340
430	233	284	233	340	233	284	340
431	233	284	233	340	233	284	340
432	233	284	233	340	233	284	340
433	233	284	233	340	233	284	340
434	233	284	233	340	233	284	340
435	233	284	233	340	233	284	340
436	233	284	233	340	233	284	340
437	233	284	233	340	233	284	340
438	233	284	233	340	233	284	340
439	233	284	233	340	233	284	340
440	233	284	233	340	233	284	340
441	233	284	233	340	233	284	340
442	233	284	233	340	233	284	340
443	233	284	233	340	233	284	340
444	233	284	233	340	233	284	340
445	233	284	233	340	233	284	340
446	233	284	233	340	233	284	340
447	234	285	234	340	234	285	340
448	234	285	234	340	234	285	340
449	234	285	234	340	234	285	340
450	234	285	234	340	234	285	340
451	234	285	234	340	234	285	340
452	234	285	234	340	234	285	340
453	234	285	234	340	234	285	340
454	234	285	234	340	234	285	340
455	234	285	234	340	234	285	340
456	234	285	234	340	234	285	340
457	234	285	234	340	234	285	340
458	234	285	234	340	234	285	340
459	234	285	234	340	234	285	340
460	234	285	234	340	234	285	340
461	234	285	234	340	234	285	340
462	234	285	234	340	234	285	340
463	234	285	234	340	234	285	340
464	234	285	234	340	234	285	340
465	234	285	234	340	234	285	340
466	234	285	234	340	234	285	340
467	234	285	234	340	234	285	340
468	234	285	234	340	234	285	340
469	234	285	234	340	234	285	340
470	234	285	234	340	234	285	340
471	234	285	234	340	234	285	340
472	234	285	234	340	234	285	340
473	234	285	234	340	234	285	340
474	234	285	234	340	234	285	340
475	234	286	234	340	234	286	340
476	233	285	233	340	233	285	340
477	233	285	233	340	233	285	340
478	233	284	233	340	233	284	340
479	233	284	233	340	233	284	340
480	233	284	233	340	233	284	340
481	233	284	233	340	233	284	340
482	233	285	233	340	233	285	340
483	233	285	233	340	233	285	340
484	233	284	233	340	233	284	340
485	233	284	233	340	233	284	340
486	233	284	233	340	233	284	340
487	233	284	233	340	233	284	340
488	233	284	233	340	233	284	340
489	233	284	233	340	233	284	340
490	231	281	231	340	231	281	340
491	233	284	233	340	233	284	340
492	231	282	231	340	231	282	340
493	233	285	233	340	233	285	340
494	233	285	233	340	233	285	340
495	233	285	233	340	233	285	340
496	233	285	233	340	233	285	340
497	233	285	233	340	233	285	340
498	234	286	234	340	234	286	340
499	234	286	234	340	234	286	340
